id,ref_type,start_offset,end_offset,duration
0,mux,200927,270727,69800
id,ref_type,start_offset,end_offset,duration
0,mux,163691,196273,32582
id,ref_type,start_offset,end_offset,duration
0,mux,745,24036,23291
id,ref_type,start_offset,end_offset,duration
0,mux,65945,159018,93073
id,ref_type,start_offset,end_offset,duration
0,mux,42673,61291,18618
id,ref_type,start_offset,end_offset,duration
0,trans,200927,270727,69800
id,ref_type,start_offset,end_offset,duration
0,trans,163691,196273,32582
id,ref_type,start_offset,end_offset,duration
0,trans,782,24036,23254
id,ref_type,start_offset,end_offset,duration
0,trans,70600,159036,88436
id,ref_type,start_offset,end_offset,duration
0,trans,38018,61291,23273
1,mux,323636,342255,18619
1,mux,76945,81600,4655
1,mux,258473,318982,60509
1,mux,104873,114182,9309
1,mux,239855,253818,13963
1,mux,53673,67636,13963
1,mux,2455,16418,13963
1,mux,118836,160727,41891
1,mux,211927,216582,4655
1,mux,39709,44364,4655
1,mux,86255,90909,4654
1,trans,323655,342273,18618
1,trans,76945,81600,4655
1,trans,258491,319000,60509
1,trans,239873,253836,13963
1,trans,2491,16455,13964
1,trans,104891,146782,41891
1,trans,53691,67636,13945
1,trans,211927,216582,4655
1,trans,86273,90927,4654
2,mux,195655,204964,9309
2,mux,81164,160291,79127
2,mux,149018,162982,13964
2,mux,11491,76509,65018
2,mux,2091,6745,4654
2,mux,235545,240200,4655
2,trans,195655,204964,9309
2,trans,39273,76509,37236
2,trans,81164,160291,79127
2,trans,149018,162982,13964
2,trans,11345,34618,23273
2,trans,235527,240182,4655
2,trans,2036,6691,4655
3,mux,-817,13145,13962
3,mux,213073,268927,55854
3,mux,273600,301509,27909
3,mux,12927,31545,18618
3,mux,36200,54818,18618
3,mux,306164,320145,13981
3,mux,59491,92055,32564
3,mux,110673,129291,18618
3,mux,157218,171200,13982
3,mux,166491,171145,4654
3,mux,143255,147909,4654
3,mux,26945,31600,4655
3,trans,213073,268945,55872
3,trans,273582,301527,27945
3,trans,-1017,92073,93090
3,trans,110673,129291,18618
3,trans,306182,324782,18600
3,trans,166509,171164,4655
3,trans,26945,31600,4655
3,trans,157236,171200,13964
3,trans,143273,147927,4654
4,trans,208255,310655,102400
4,trans,-1199,203600,204799
4,trans,10309,14964,4655
4,mux,-999,310655,311654
5,mux,-854,31655,32509
5,mux,10109,14764,4655
5,mux,25345,34655,9310
5,trans,-926,31655,32581
5,trans,10055,14709,4654
5,trans,25345,34655,9310
6,mux,229545,336600,107055
6,mux,169036,215582,46546
6,mux,57327,94582,37255
6,mux,99218,117836,18618
6,mux,1600,29400,27800
6,mux,38709,43364,4655
6,mux,247509,252164,4655
6,mux,48036,52691,4655
6,trans,229564,285418,55854
6,trans,290073,336618,46545
6,trans,57345,94582,37237
6,trans,169036,215600,46564
6,trans,1491,15455,13964
6,trans,99236,117836,18600
6,trans,24764,34073,9309
6,trans,247509,252164,4655
6,trans,38727,43382,4655
6,trans,48036,52691,4655
7,mux,165800,203018,37218
7,mux,12182,30800,18618
7,mux,95982,161127,65145
7,mux,82000,91327,9327
7,trans,12182,30800,18618
7,trans,165800,203018,37218
7,trans,82018,86673,4655
7,trans,95964,161145,65181
8,mux,205073,251618,46545
8,mux,28200,130600,102400
8,mux,158527,191109,32582
8,mux,284200,326091,41891
8,mux,400,18891,18491
8,trans,209727,251618,41891
8,trans,288855,326091,37236
8,trans,28200,130600,102400
8,trans,158527,191109,32582
8,trans,273,18891,18618
9,mux,53145,85745,32600
9,mux,20582,34527,13945
9,mux,29018,33673,4655
9,mux,2200,16182,13982
9,trans,53164,85745,32581
9,trans,29018,33673,4655
9,trans,1964,34545,32581
9,trans,23927,28582,4655
10,mux,1400,6055,4655
10,mux,266527,271182,4655
10,mux,10709,224636,213927
10,mux,229291,252564,23273
10,mux,257218,261873,4655
10,trans,1218,5873,4655
10,trans,10527,224636,214109
10,trans,229291,252564,23273
10,trans,257218,271182,13964
11,mux,133564,147527,13963
11,mux,35818,128909,93091
11,mux,305782,319745,13963
11,mux,152182,287164,134982
11,mux,3600,12909,9309
11,mux,26509,31164,4655
11,mux,12545,17200,4655
11,trans,133564,147527,13963
11,trans,35836,128909,93073
11,trans,305782,319745,13963
11,trans,152182,287164,134982
11,trans,3236,17200,13964
11,trans,26509,31164,4655
13,mux,152636,301564,148928
13,mux,-963,147964,148927
13,mux,262218,266873,4655
13,trans,152636,301564,148928
13,trans,-981,147964,148945
13,trans,262218,266873,4655
14,mux,53327,76600,23273
14,mux,2164,44018,41854
14,mux,101145,105800,4655
14,mux,66036,70691,4655
14,mux,107673,112327,4654
14,mux,64745,69400,4655
14,mux,97273,101927,4654
14,trans,53327,76600,23273
14,trans,2127,48673,46546
14,trans,101145,105800,4655
14,trans,66036,70691,4655
14,trans,107691,112345,4654
15,mux,141418,155382,13964
15,mux,29709,118145,88436
15,mux,239164,276400,37236
15,mux,54945,64255,9310
15,mux,160036,197273,37237
15,mux,299673,355527,55854
15,mux,201927,234509,32582
15,mux,40582,49891,9309
15,mux,290364,295018,4654
15,mux,15745,20400,4655
15,mux,122800,136764,13964
15,mux,2145,6800,4655
15,trans,141418,155364,13946
15,trans,29691,113473,83782
15,trans,54945,64255,9310
15,trans,174000,197255,23255
15,trans,201909,215873,13964
15,trans,327582,355527,27945
15,trans,160018,169327,9309
15,trans,11091,15745,4654
15,trans,220527,276382,55855
15,trans,299655,322945,23290
15,trans,40582,49891,9309
15,trans,122782,136745,13963
15,trans,281036,295000,13964
15,trans,1782,6436,4654
16,mux,1709,6364,4655
16,mux,136527,178436,41909
16,mux,234291,359964,125673
16,mux,43436,103964,60528
16,mux,206364,229618,23254
16,mux,11036,38800,27764
16,mux,183091,187745,4654
16,trans,1564,6218,4654
16,trans,136545,178436,41891
16,trans,234291,359964,125673
16,trans,43455,103964,60509
16,trans,206364,229636,23272
16,trans,10873,38800,27927
17,mux,15545,131909,116364
17,mux,102382,107036,4654
17,mux,104000,108655,4655
17,mux,104509,109164,4655
17,mux,136564,159818,23254
17,mux,1909,15855,13946
17,trans,1582,131909,130327
17,trans,102382,107036,4654
17,trans,104018,108673,4655
17,trans,145873,159836,13963
17,trans,104509,109164,4655
17,trans,136564,141218,4654
18,mux,36145,78036,41891
18,mux,-1108,17527,18635
18,mux,213018,287491,74473
18,mux,92000,115273,23273
18,mux,119927,133891,13964
18,mux,199055,208364,9309
18,mux,74764,79418,4654
18,mux,205564,210218,4654
18,mux,82691,87345,4654
18,mux,204182,208836,4654
18,mux,72909,77564,4655
18,mux,22182,31491,9309
18,mux,306109,310764,4655
18,mux,189745,194400,4655
18,trans,36145,78036,41891
18,trans,213018,273527,60509
18,trans,92000,115273,23273
18,trans,205564,210218,4654
18,trans,74764,79418,4654
18,trans,119927,133891,13964
18,trans,-1090,31509,32599
18,trans,199055,208364,9309
18,trans,204182,208836,4654
18,trans,278182,287491,9309
18,trans,82709,87364,4655
18,trans,72909,77564,4655
18,trans,306109,310764,4655
18,trans,189745,194400,4655
19,mux,247218,279800,32582
19,mux,293764,340309,46545
19,mux,14491,121527,107036
19,mux,177400,200673,23273
19,mux,873,10182,9309
19,mux,126200,140164,13964
19,mux,144818,163436,18618
19,mux,233255,242564,9309
19,mux,205327,228600,23273
19,mux,284455,289109,4654
19,trans,293745,340291,46546
19,trans,509,121527,121018
19,trans,177382,200655,23273
19,trans,233236,279782,46546
19,trans,144800,163418,18618
19,trans,126182,140145,13963
19,trans,205309,228600,23291
19,trans,284455,289109,4654
20,mux,202709,221327,18618
20,mux,63073,100309,37236
20,mux,225982,263218,37236
20,mux,123582,179436,55854
20,mux,2836,12145,9309
20,mux,21182,25836,4654
20,mux,11873,16527,4654
20,mux,277182,281836,4654
20,mux,291145,309764,18619
20,mux,104964,114273,9309
20,mux,44455,58418,13963
20,mux,184091,193400,9309
20,mux,267873,272527,4654
20,trans,202709,221327,18618
20,trans,63073,100309,37236
20,trans,123582,179436,55854
20,trans,225982,263218,37236
20,trans,2564,16527,13963
20,trans,104964,114273,9309
20,trans,21182,25836,4654
20,trans,291164,309764,18600
20,trans,277182,281836,4654
20,trans,44473,58418,13945
20,trans,184109,193400,9291
21,mux,261691,266345,4654
21,mux,220673,267218,46545
21,mux,192745,216018,23273
21,mux,169473,188091,18618
21,mux,15873,71727,55854
21,mux,76382,160164,83782
21,mux,2109,11418,9309
21,mux,256600,261255,4655
21,trans,261691,266345,4654
21,trans,220655,267218,46563
21,trans,192745,216018,23273
21,trans,1909,6564,4655
21,trans,169473,188091,18618
21,trans,15873,160164,144291
21,trans,256600,261255,4655
22,mux,2745,21164,18419
22,mux,212000,272509,60509
22,mux,25836,109600,83764
22,mux,174764,207345,32581
22,mux,114255,170109,55854
22,mux,277164,291127,13963
22,trans,2545,21182,18637
22,trans,212000,272527,60527
22,trans,35127,109600,74473
22,trans,114273,207345,93072
22,trans,277164,291145,13981
22,trans,25836,30491,4655
23,mux,13709,88182,74473
23,mux,36,14000,13964
23,trans,-254,88182,88436
24,mux,12491,49727,37236
24,mux,82309,147473,65164
24,mux,-1072,12891,13963
24,trans,7836,49727,41891
24,trans,82309,147473,65164
24,trans,-1472,3182,4654
24,trans,63691,68345,4654
25,mux,156164,184091,27927
25,mux,72382,151509,79127
25,mux,356309,374927,18618
25,mux,-1944,35164,37108
25,mux,188745,277182,88437
25,mux,300473,333036,32563
25,mux,49109,53764,4655
25,trans,156182,184109,27927
25,trans,72400,151527,79127
25,trans,356327,374945,18618
25,trans,-2072,39818,41890
25,trans,305127,319091,13964
25,trans,216691,277200,60509
25,trans,202727,212036,9309
25,trans,49127,53782,4655
25,trans,323745,333055,9310
25,trans,188764,193418,4654
26,mux,1509,29273,27764
26,trans,1364,29291,27927
27,mux,-326,13636,13962
27,mux,13291,78455,65164
27,mux,152927,222745,69818
27,mux,287909,367036,79127
27,mux,83109,148273,65164
27,mux,232055,259982,27927
27,mux,264636,283255,18619
27,trans,-672,78455,79127
27,trans,152927,222745,69818
27,trans,287909,367036,79127
27,trans,232055,259982,27927
