id,ref_type,start_offset,end_offset,avg_ber,duration,,,,
0,mux,200,14164,0.145508016,13964,,Row Labels,Sum of duration,Average of avg_ber
0,mux,18745,55982,0.150693675,37237,,mux,4235113,0.210586714
0,trans,127,14091,0.132975538,13964,,trans,4207761,0.2095027
0,trans,18745,55982,0.149594888,37237,,Grand Total,8442874,0.210080487
1,mux,545,14509,0.118654485,13964,,,-27352,-0.001084013
1,mux,14218,28182,0.171224,13964,,,,
1,trans,255,28182,0.153404002,27927,,,,
2,mux,2927,12255,0.2333985,9328,,,,
2,mux,21509,30818,0.2822265,9309,,,,
2,trans,2891,12200,0.2316895,9309,,,,
2,trans,21509,30818,0.2839355,9309,,,,
3,mux,13964,27927,0.187336133,13963,,Row Labels,Sum of duration,Average of avg_ber
3,mux,218,14182,0.220703,13964,,mux,22961637,0.212249093
3,trans,0,27945,0.200356656,27945,,trans,22895642,0.213491291
4,mux,14182,51418,0.130003502,37236,,Grand Total,45857279,0.212853519
4,mux,473,14436,0.146809667,13963,,,,
4,trans,218,51418,0.145951499,51200,,,-65995,0.001242198
6,mux,545,32982,0.223985626,32437,,,,
6,trans,400,32982,0.21889338,32582,,,,
7,mux,1527,10836,0.16333,9309,,,,
7,trans,1545,10855,0.172363,9310,,,,
8,mux,1709,29436,0.212646416,27727,,,,
8,trans,1509,24782,0.164257287,23273,,,,
9,mux,2145,43945,0.24007086,41800,,,,
9,trans,2055,43945,0.239963051,41890,,,,
10,mux,4218,13527,0.273926,9309,,,,
10,trans,4127,13418,0.2714845,9291,,,,
11,mux,527,19000,0.14477369,18473,,,,
11,mux,23655,56236,0.179969132,32581,,,,
11,trans,364,19000,0.147581975,18636,,,,
11,trans,23655,56236,0.1935711,32581,,,,
12,mux,14836,47418,0.10972684,32582,,,,
12,mux,10400,15055,0.243652,4655,,,,
12,mux,10091,14745,0.318359,4654,,,,
12,mux,5127,9782,0.348633,4655,,,,
12,trans,873,47418,0.137741347,46545,,,,
12,trans,9873,14527,0.23291,4654,,,,
14,mux,4982,18855,0.171386667,13873,,,,
14,mux,23509,32800,0.299316,9291,,,,
14,mux,37455,42109,0.333496,4654,,,,
14,trans,4873,32800,0.218102361,27927,,,,
14,trans,37455,42109,0.333008,4654,,,,
15,mux,17455,45382,0.203365962,27927,,,,
15,mux,-908,13055,0.240722667,13963,,,,
15,trans,-1144,45400,0.196092288,46544,,,,
16,mux,15127,52364,0.201168052,37237,,,,
16,mux,1491,10782,0.3103025,9291,,,,
16,trans,19764,52345,0.173061562,32581,,,,
16,trans,1145,15109,0.296549333,13964,,,,
17,mux,127,14091,0.237633189,13964,,,,
17,mux,13745,32345,0.300292907,18600,,,,
17,trans,-235,32345,0.259142215,32580,,,,
18,mux,18618,27927,0.1813965,9309,,,,
18,mux,13927,27891,0.224612131,13964,,,,
18,trans,18618,27927,0.1650395,9309,,,,
18,trans,13927,27891,0.211428604,13964,,,,
19,mux,-1381,3273,0.339355,4654,,,,
20,mux,2127,34582,0.267092601,32455,,,,
20,trans,2018,6673,0.192871,4655,,,,
20,trans,11327,34600,0.272755344,23273,,,,
21,mux,19200,51782,0.183804574,32582,,,,
21,trans,19218,51800,0.18031732,32582,,,,
22,mux,13509,27473,0.223308656,13964,,,,
22,mux,32127,64709,0.250417786,32582,,,,
22,mux,-435,8891,0.2905275,9326,,,,
22,trans,32127,64709,0.242326182,32582,,,,
22,trans,-454,27473,0.256589956,27927,,,,
23,mux,20745,57982,0.216429596,37237,,,,
23,trans,20745,57964,0.229247154,37219,,,,
26,mux,-1108,12855,0.136718667,13963,,,,
26,mux,12600,63800,0.201042511,51200,,,,
26,trans,-1363,63800,0.176063893,65163,,,,
27,mux,1455,33873,0.251535268,32418,,,,
27,trans,1291,33873,0.237863119,32582,,,,
28,mux,2055,39091,0.167905058,37036,,,,
28,trans,1855,39091,0.143981277,37236,,,,
30,mux,13436,32055,0.199339799,18619,,,,
30,trans,13455,32055,0.19995041,18600,,,,
31,mux,2455,11764,0.1801755,9309,,,,
31,mux,11327,43909,0.18115261,32582,,,,
31,trans,2036,43927,0.182183281,41891,,,,
32,mux,1091,24273,0.302442282,23182,,,,
32,trans,1018,24291,0.28955047,23273,,,,
34,mux,19455,56691,0.164182052,37236,,,,
34,mux,836,14818,0.202313966,13982,,,,
34,trans,19455,56691,0.154111208,37236,,,,
34,trans,836,14800,0.190595651,13964,,,,
35,mux,35309,44618,0.2036135,9309,,,,
35,mux,16691,26000,0.223633,9309,,,,
35,mux,7564,12218,0.29248,4654,,,,
35,trans,35309,44618,0.209473,9309,,,,
35,trans,16691,26000,0.2324215,9309,,,,
35,trans,7382,12036,0.285156,4654,,,,
36,mux,43436,62036,0.160888618,18600,,,,
36,mux,1618,34127,0.283552302,32509,,,,
36,trans,43436,62055,0.165283272,18619,,,,
36,trans,1545,29473,0.258871162,27928,,,,
38,mux,15273,33891,0.092897028,18618,,,,
38,mux,1636,15600,0.138183333,13964,,,,
38,trans,1309,33891,0.087403299,32582,,,,
39,mux,5109,14400,0.2111815,9291,,,,
39,trans,5073,14382,0.1987305,9309,,,,
40,mux,27945,46564,0.08203125,18619,,,,
40,mux,273,14236,0.114257667,13963,,,,
40,mux,13982,23291,0.1777345,9309,,,,
40,trans,27945,46564,0.0994875,18619,,,,
40,trans,18,23291,0.146876525,23273,,,,
41,mux,2018,48491,0.21455097,46473,,,,
41,trans,1945,48491,0.211036138,46546,,,,
42,mux,1509,43236,0.156736531,41727,,,,
42,trans,1345,43236,0.129230833,41891,,,,
43,mux,14000,60545,0.205423154,46545,,,,
43,mux,345,14309,0.22005664,13964,,,,
43,trans,18,60545,0.201813128,60527,,,,
45,mux,10727,29364,0.160890495,18637,,,,
45,mux,1418,6073,0.211426,4655,,,,
45,mux,34000,47964,0.269205667,13964,,,,
45,trans,10745,29364,0.132691791,18619,,,,
45,trans,1436,6091,0.20459,4655,,,,
45,trans,34018,47982,0.266764333,13964,,,,
46,mux,-1763,12200,0.137207,13963,,,,
46,mux,11945,35218,0.243554062,23273,,,,
46,trans,-1999,16618,0.132812976,18617,,,,
46,trans,21273,35236,0.225750163,13963,,,,
47,mux,22055,31364,0.167236,9309,,,,
47,mux,3436,17400,0.180827,13964,,,,
47,trans,22036,31364,0.178711,9328,,,,
